EventId,EventTemplate,TemplateFlag
E1,*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,True
E2,*** unregister callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,True
E3,*** unregister callback for null,False
E4,"[HSM] stayAwake false uid: 10111, pid: 28601",True
E5,[PhoneIntfMgr] getDataEnabled: subId=1 phoneId=1,True
E6,[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,True
E7,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,True
E8,android.util.AndroidRuntimeException: Must execute in UI,True
E9,abandonAudioFocus,False
E10,"acquire lock=<*>, flags=0x1, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",True
E11,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",False
E12,ACTION_BATTERY_CHANGED AMP: 0; Volt: 0,True
E13,ACTION_BATTERY_CHANGED pluggedType: 0,True
E14,"ACTIVITY check resid: com.example.android.notepad, size=<*>",True
E15,"ActivityManagerService,attachApplication,callingPid = <*>",False
E16,ActivityRecord info: <*> <*> euid: 0,True
E17,addNotification <*>,False
E18,"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false",True
E19,"animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=true",True
E20,"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true",True
E21,"Animating brightness: target=38, rate=200",True
E22,Application requested orientation <*> got rotation 0 which has compatible metrics,True
E23,applyOptionsLocked: Unknown animationType=0,True
E24,ApStaDisabledState what=155652,True
E25,Bad activity token: android.os.BinderProxy@2bd79ce,True
E26,battery changed pluggedType: 0,True
E27,cancelAutohide,False
E28,"cancelNotification,cancelNotificationLocked,callingUid = <*> = <*>",False
E29,"cancelNotification,index:<*>",False
E30,"cancelNotificationLocked called,tell the app,reason = <*>",False
E31,"cancelNotificationLocked,remove =com.tencent.mobileqq",True
E32,cancelNotificationLocked:0|com.tencent.mobileqq|121|null|10111,True
E33,"cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =<*>",True
E34,cancelPeek: false,False
E35,ChargingSpeed  Wattage: -1 ST: 5000000 --> 7500000,True
E36,cleanUpApplicationRecord -- <*>,False
E37,"cleanUpApplicationRecordLocked, pid: <*> restart: false",False
E38,"cleanUpApplicationRecordLocked, reset pid: <*> euid: 0",True
E39,closeQs,False
E40,DefaultState what=155652,True
E41,Destroying surface <*> called by <*>,False
E42,disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >,False
E43,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,False
E44,enqueueNotificationInternal: n.getKey = <*>,False
