EventId,EventTemplate,TemplateFlag
E1,"<*> ddr error(s) detected and corrected on rank 0, symbol <*> over <*> seconds",True
E2,"<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",True
E3,<*> double-hummer alignment exceptions,False
E4,<*> floating point alignment exceptions,False
E5,3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,True
E6,2 L3 EDRAM error(s) (dcr 0x0157) detected and corrected over 282 seconds,True
E7,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,True
E8,1 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected,True
E9,1 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected,True
E10,<*> torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,True
E11,<*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds,True
E12,"<*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",True
E13,<*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,True
E14,<*> tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over <*> seconds,True
E15,auxiliary processor.........................0,True
E16,byte ordering exception.....................0,True
E17,Can not get assembly information for node card,False
E18,CE sym <*> at <*> mask <*>,False
E19,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,True
E20,ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,True
E21,ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,True
E22,ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,True
E23,ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,True
E24,ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,True
E25,"ciod: Error loading <*> invalid or missing program image, Exec format error",False
E26,"ciod: Error loading <*> invalid or missing program image, Permission denied",False
E27,"ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, 361544528 > 266076160",True
E28,"ciod: Error loading <*> invalid or missing program image, No such file or directory",False
E29,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,False
E30,ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer,False
E31,ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,False
E32,ciod: Error reading message prefix on CioStream socket to <*> Link has been severed,False
E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>,False
E34,ciod: generated <*> core files for program <*>,False
E35,"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)",True
E36,ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error,True
E37,ciod: LOGIN <*> failed: No such file or directory,False
E38,ciod: Message code 0 is not 51 or 4294967295,True
E39,ciod: Missing or invalid fields on line 1 of node map file <*>,True
E40,ciod: pollControlDescriptors: Detected the debugger died.,False
E41,"ciod: Received signal 15, code=0, errno=0, <*>",True
E42,ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,True
E43,core configuration register: 0x00002000,True
E44,critical input interrupt (unit=0x0b bit=0x06): warning for torus y+ wire,True
E45,critical input interrupt (unit=0x0b bit=0x0b): warning for torus z- wire,True
E46,"critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type",True
E47,"critical input interrupt (unit=0x0b bit=0x17): warning for tree C1 wire, suppressing further interrupts of same type",True
E48,critical input interrupt enable...0,True
E49,data address space................0,True
E50,data address: 0x00000002,True
E51,data cache search parity error detected. attempting to correct,False
E52,data storage interrupt,False
E53,data store interrupt caused by dcbf.........0,True
E54,data store interrupt caused by icbi.........0,True
E55,data TLB error interrupt,False
E56,dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,True
E57,debug interrupt enable............0,True
E58,debug wait enable.................0,True
E59,disable store gathering..................0,True
E60,"Error receiving packet on tree network, expecting type 57 instead of type 3 <*> <*> 00000002 00000000) <*> PSR1=00000000 PRXF=00000002 PIXF=00000007",True
E61,exception syndrome register: <*>,False
E62,floating point instr. enabled.....1,True
E63,floating pt ex mode <*> enable......0,True
E64,force load/store alignment...............0,True
E65,fpr29=0xffffffff ffffffff ffffffff ffffffff,True
E66,fraction rounded.........................0,True
E67,generating <*>,False
E68,guaranteed data cache block touch........1,True
E69,guaranteed instruction cache block touch.0,True
E70,iar <*> dear <*>,False
E71,icache prefetch depth....................0,True
