EventId,EventTemplate,TemplateFlag
E1,<*> Served block <*> to <*>,False
E2,10.250.15.198:50010 Starting thread to transfer block blk_4292382298896622412 to 10.250.15.240:50010,True
E3,<*>:50010:Got exception while serving blk_<*> to /<*>:,True
E4,BLOCK* ask <*> to delete  <*>,False
E5,BLOCK* ask 10.250.14.38:50010 to replicate blk_-7571492020523929240 to datanode(s) 10.251.122.38:50010,True
E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,False
E7,BLOCK* NameSystem.allocateBlock: <*> <*>,False
E8,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,False
E9,Deleting block <*> file <*>,False
E10,PacketResponder <*> for block <*> terminating,False
E11,Received block <*> of size <*> from <*>,False
E12,Received block <*> src: <*> dest: <*> of size 67108864,True
E13,Receiving block <*> src: <*> dest: <*>,False
E14,Verification succeeded for <*>,False
