EventId,EventTemplate,TemplateFlag
E1,<*> failures on node MININT-FNANLI5.fareast.corp.microsoft.com,True
E2,Added <*> to list of failed maps,False
E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,False
E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,False
E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),False
E6,Adding #0 tokens and #1 secret keys for NM use for launching container,True
E7,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,True
E8,adding path spec: <*>,False
E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,False
E10,Address change detected. Old: msra-sa-41/10.190.173.170:<*> New: msra-sa-41:<*>,True
E11,After Scheduling: <*> <*> <*> <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> <*>,True
E12,All maps assigned. Ramping up all remaining reduces:1,True
E13,Assigned container <*> to <*>,False
E14,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,False
E15,<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,False
E16,<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED,False
E17,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,False
E18,<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP,False
E19,attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP,True
E20,attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,True
E21,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,False
E22,ATTEMPT_START <*>,False
E23,Auth successful for job_1445144423722_0020 (auth:SIMPLE),True
E24,Before Scheduling: <*> <*> <*> <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> <*>,True
E25,blacklistDisablePercent is 33,True
