EventId,EventTemplate,TemplateFlag
E1,*** info [mice.c(1766)]:,True
E2,0MB HIGHMEM available.,True
E3,126MB LOWMEM available.,True
E4,ACPI disabled because your bios is from 2000 and too old,True
E5,ACPI: ACPI tables contain no PCI IRQ routing entries,False
E6,ACPI: Interpreter disabled.,False
E7,ACPI: Subsystem revision 20040326,True
E8,ALERT exited abnormally with [1],False
E9,"ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)",True
E10,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),True
E11,audit(1122475266.4294965305:0): initialized,True
E12,audit: initializing netlink socket (disabled),False
E13,Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,True
E14,Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,True
E15,authentication failure; logname= uid=0 euid=0 tty=<*> ruser= rhost=<*>,True
E17,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=<*>,True
E20,BIOS-e820: <*> - <*> (reserved),False
E21,BIOS-e820: <*> - <*> (usable),False
E22,BIOS-provided physical RAM map:,False
E23,Bringing up loopback interface:  succeeded,False
E24,Built 1 zonelists,True
E25,Calibrating delay loop... 1445.88 BogoMIPS,True
E26,Capability LSM initialized,False
E27,check pass; user unknown,False
E28,Checking 'hlt' instruction... OK.,False
E29,connection from <*> <*> at <*> <*> <*> <*> 2005,True
E30,Console: colour VGA+ 80x25,True
E31,Couldn't authenticate user,False
E32,"CPU 0 irqstacks, hard=02345000 soft=02344000",True
E33,CPU: Intel Pentium III (Coppermine) stepping 06,True
E34,"CPU: L1 I cache: 16K, L1 D cache: 16K",True
E35,CPU: L2 cache: 256K,True
E36,creating device node <*>,False
E37,cupsd shutdown succeeded,False
E38,cupsd startup succeeded,False
E39,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",True
E40,Detected 731.219 MHz processor.,True
E41,"DMA zone: 4096 pages, LIFO batch:1",True
E42,DMI 2.3 present.,True
E43,"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",True
E44,Enabling fast FPU save and restore... done.,False
E45,Enabling unmasked SIMD FPU exception support... done.,False
E46,Failure registering capabilities with the kernel,False
E47,getpeername (ftpd): Transport endpoint is not connected,False
E48,HCI daemon ver 2.4 started,True
E49,hcid startup succeeded,False
E50,"HighMem zone: 0 pages, LIFO batch:1",True
E51,imps2: Auto-detected intellimouse PS/2,True
E52,Initializing CPU#0,True
E53,Initializing Cryptographic API,False
E54,Initializing random number generator:  succeeded,False
E55,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",True
E56,Intel machine check architecture supported.,False
E57,Intel machine check reporting enabled on CPU#0.,True
E58,irqbalance startup succeeded,False
E59,isapnp: No Plug & Play device found,False
E60,isapnp: Scanning for PnP cards...,False
