EventId,EventTemplate,TemplateFlag
E1,"[instance: <*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",True
E2,[instance: <*> Claim successful,False
E3,[instance: <*> Creating image,False
E4,[instance: <*> Deleting instance files <*>,False
E5,[instance: <*> Deletion of <*> complete,False
E6,"[instance: <*> disk limit not specified, defaulting to unlimited",False
E7,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,False
E8,[instance: <*> Instance destroyed successfully.,False
E9,[instance: <*> Instance spawned successfully.,False
E10,"[instance: <*> memory limit: 96258.00 MB, free: 95746.00 MB",True
E11,[instance: <*> Terminating instance,False
E12,[instance: <*> Took <*> seconds to build instance.,False
E13,[instance: <*> Took <*> seconds to deallocate network for instance.,False
E14,[instance: <*> Took <*> seconds to destroy the instance on the hypervisor.,False
E15,[instance: <*> Took <*> seconds to spawn the instance on the hypervisor.,False
E16,"[instance: <*> Total disk: 15 GB, used: 0.00 GB",True
E17,"[instance: <*> Total memory: 64172 MB, used: 512.00 MB",True
E18,"[instance: <*> Total vcpu: 16 VCPU, used: 0.00 VCPU",True
E19,"[instance: <*> vcpu limit not specified, defaulting to unlimited",False
E20,[instance: <*> VM Paused (Lifecycle Event),False
E21,[instance: <*> VM Resumed (Lifecycle Event),False
E22,[instance: <*> VM Started (Lifecycle Event),False
E23,[instance: <*> VM Stopped (Lifecycle Event),False
E24,"10.11.10.1 ""DELETE <*> HTTP/1.1"" status: 204 len: 203 time: <*>",True
E25,"<*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>",True
E26,"10.11.10.1 ""POST <*> HTTP/1.1"" status: <*> len: <*> time: <*>",True
E27,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,True
E28,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,True
E29,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,True
E30,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,True
E31,Creating event <*> for instance <*>,False
E32,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=16 <*> pci_stats=[],True
E33,HTTP exception thrown: No instances found for any event,False
E34,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,True
E35,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",True
E36,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,True
E37,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,True
E38,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,True
E39,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,True
E40,The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,True
E41,"Total usable vcpus: 16, total allocated vcpus: <*>",True
E42,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,True
E43,"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",True
